FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	0.628091102	0.152072294	0.556830315	-0.220309249	0.358143568	-0.181685446	0.021171932	0.674972619	-1.150401257	0.101842934	-1.159967087	-0.691038831	0.476225463	0.374989039	-0.010356249	0.30777842	0.029698107	0.414912966	0.831778045	0.193440159	0.000135644	-0.886796238	0.568126716	-0.24051731	0.456460119
BLSA	827	-0.420359258	0.271042345	0.067751375	-0.13082115	0.974366053	-0.320283964	-0.056694379	1.890262653	0.414426893	0.123920368	-0.093879788	-1.362168517	0.120025056	0.259190357	-0.105050205	0.362812454	0.177616601	0.353068548	0.014852683	-0.048566317	0.130205265	0.469526456	0.021650411	-0.216961814	0.165775004
BLSA	1556	-0.204611898	0.088083226	0.131553704	-0.109058327	-0.065252092	-0.058483967	0.104882119	0.186120139	0.665856311	0.046461283	0.632624709	0.498683168	-0.263469494	0.22485327	0.171519896	-0.304608943	0.088818497	0.232073613	0.387820451	0.14565216	-0.161196221	0.161693156	0.411280697	-0.224050422	0.128249325
BLSA	1579	-0.122881753	-0.344131294	-0.406595602	-0.162717048	-0.028208452	-0.425052435	-0.315496331	0.72441345	0.159481387	-0.227913663	0.594515596	-0.277247394	-0.210031613	-0.260928816	-0.169421839	-0.49310037	-0.241459744	-0.270568556	-0.219508653	-0.338586222	-0.272958083	0.435748634	-0.215901263	-0.170493351	-0.294697381
BLSA	1595	-0.155381663	0.459027534	0.430142852	-0.765794725	0.35144141	-1.17643877	-0.92479322	-0.089101982	-0.371878495	0.064456008	-0.204269518	-0.490806353	0.187523441	-2.050502639	-0.763547268	0.743368783	0.986142989	0.826684049	-1.054944874	0.021732972	0.50177984	-0.443631879	-0.29525421	0.620890697	0.606716917
BLSA	1603	0.732062973	-0.201814423	-0.078662331	0.367497361	-0.309136116	0.260146351	0.158252232	-1.35906675	-0.657116157	-0.018896571	-0.258116004	0.502595173	-0.000833509	-0.120455119	-0.058341749	-0.067213674	0.052044212	-0.108625879	-0.045618789	0.047243766	-0.140981213	-0.397603421	-0.187013416	0.210130083	-0.095570019
BLSA	1640	-0.524718663	0.037445049	-0.004579414	-0.290042149	-0.189050233	0.131213822	0.057217846	0.617120174	0.409737277	-0.005099316	1.008234799	0.192776013	-0.009606098	0.055873391	-0.011288485	0.151978671	0.042797273	0.020485074	-0.17419128	0.208579953	0.157597431	-0.221339714	-0.012109108	-0.10345257	0.146459712
BLSA	1775	-0.123469145	0.083782089	-0.011423346	0.567702342	-0.170700815	-0.63749722	0.134468495	-0.444270492	0.061780815	-0.192844343	-1.040027896	-0.2813739	-0.398513112	-0.131684965	-0.259115942	0.192322301	-0.393862631	0.097105867	-0.227692863	-0.22960807	-0.042995044	0.572362011	0.212335252	-0.37760511	-0.031761044
BLSA	1802	0.46964253	-0.219856566	-0.106915426	0.190737557	-0.356276791	0.227858804	0.152612847	-0.749911508	-0.339825562	-0.056481098	-0.42825701	0.641200594	0.001103257	0.127680457	0.063002635	-0.253577621	-0.238331309	-0.297912987	0.039069556	0.09686847	-0.141314978	0.228669856	-0.034828442	0.010139066	-0.225179442
BLSA	1805	1.370454482	-0.207369716	-0.085008112	0.303395185	0.031753095	-0.042469993	-0.08809927	-1.232005405	-0.532299178	-0.05940033	-0.228791431	0.32795517	-0.097119836	-0.132152949	-0.173454785	-0.231866881	-0.001424951	-0.273945607	-0.258354123	-0.103630187	-0.160469592	-0.239733855	-0.269285686	0.206124401	-0.186526164
BLSA	1838	0.167360645	0.026368063	-0.110440119	0.061477348	-0.244685542	-0.028451289	-0.069336384	0.095237019	-0.136877872	-0.20101179	0.019083745	-0.163718385	-0.027041405	0.135909987	-0.088515144	0.022085813	-0.055590256	-0.120120493	-0.017479367	-0.064782807	-0.105747881	0.14449172	-0.120017224	-0.030403931	-0.176761038
BLSA	1839	0.052926278	-0.1943516	-0.069639741	0.280581724	-0.043513728	0.159138965	0.095062892	-0.686227972	-0.656269532	0.067760577	-0.081188329	0.373574838	0.03187623	0.341495204	-0.000688398	-0.055975959	-0.206829561	-0.326739467	0.112734481	0.044104814	-0.07585298	-0.675136871	0.028084198	0.175083477	-0.1549606
BLSA	1840	0.031862497	-0.150417632	-0.120075204	0.185388989	-0.251438229	0.351045387	0.047611816	-0.165225265	-0.301048559	0.114016467	-0.007419285	0.330020482	-0.140299494	0.078645889	0.214970816	-0.213201798	-0.095532578	-0.216546486	0.087200443	-0.016332365	-0.024695021	-0.291919622	0.101304749	-0.144212687	-0.027982764
BLSA	1883	-0.388849626	-0.075671338	-0.155410386	-0.009557263	-0.060532139	-0.27589455	0.128206991	-0.222273928	0.132815951	-0.244632309	0.010284536	-0.049907019	-0.05230291	-0.089659863	-0.055958771	-0.114601678	-0.135150846	-0.143650315	-0.100805341	-0.067706951	-0.088596191	0.126183751	-0.148080507	-0.162549561	-0.06926416
BLSA	1889	0.209918758	-0.235085426	-0.102288039	0.282214004	-0.248013721	0.215818339	0.237302256	-0.691562141	-0.190634733	-0.018178694	-0.251242109	-0.008933612	-0.066781688	0.125460424	0.243729524	-0.019647755	-0.214378484	-0.192527864	0.026249997	-0.124346373	-0.033231044	-0.060675784	-0.013729805	0.034830005	-0.225342518
BLSA	1924	-0.52036383	-0.037588023	-0.162044912	-0.31256234	0.011224508	0.211596734	-0.259761679	0.677814958	0.062447112	0.133464277	0.53696917	-0.582848073	-0.02037707	-0.169409977	-0.302796346	0.01163729	-0.018236354	0.018729677	-0.070451792	0.051331231	0.089520032	0.215581581	-0.23353717	0.03750778	0.010954855
BLSA	1961	-0.058230382	-0.027605754	-0.031534534	0.181937769	-0.060871365	0.276386691	0.081763905	-0.928596199	0.225056614	0.028340716	0.303906914	0.344149088	0.079476331	0.072246007	0.261032105	-0.036710058	0.121892274	-0.150754147	0.10625571	0.153146466	0.022662699	-0.070658318	-0.216348214	0.215615604	0.005769452
BLSA	2000	0.095422458	0.03817495	0.061442189	0.500723229	0.407909535	0.066202983	0.363052534	-0.258335947	0.305655346	-0.002583522	-0.026266139	0.552351622	-0.062554919	0.197296046	0.135402082	-0.067250969	-0.090743642	-0.196431484	0.114667414	-0.018435501	-0.173267109	0.133531795	-0.114996572	0.077346147	-0.126842329
BLSA	2020	-0.205544531	0.210861375	0.044750361	-0.430204476	-0.040490428	0.525286599	-0.096452391	0.860507388	0.3634921	-0.001676553	0.287944804	-0.498371795	-0.070191669	0.192414782	-0.181691627	0.021834059	-0.077754677	0.207146694	0.131304103	-0.076249998	0.007865837	0.348372941	0.167638006	-0.158038131	0.034510826
BLSA	2037	-0.317320807	-0.011282379	-0.080289259	-0.078791972	0.18272621	0.755367404	0.146982248	0.91940087	0.334596846	0.067972659	0.553938242	0.173040305	0.031152886	0.043872479	0.308199842	-0.025847993	0.014278295	-0.101241369	-0.178638374	0.025621177	0.163373631	0.450768777	0.090295157	0.213010548	-0.237728076
BLSA	2066	-0.202800645	-0.117168081	-0.093496746	0.041368513	0.003556845	-0.309255402	0.017617956	-0.504940889	-0.008619256	-0.016664823	-0.331183777	0.129789954	-0.06051809	-0.069888033	0.072046441	0.017168862	-0.149365538	-0.171536633	-0.032838274	-0.055821625	-0.016799316	0.085697543	-0.068243305	-0.083284681	-0.045581128
BLSA	2069	0.550414455	-0.101006852	0.022625182	-0.097055422	-0.427071173	0.623456865	0.000926962	0.335452433	0.122907409	0.124614087	0.47376816	0.048285024	0.402631685	0.527104119	0.294780018	-0.138405248	0.011098803	0.046492824	0.292168727	0.163883519	0.180849799	-0.226803062	0.065192004	0.101211834	0.116661908
BLSA	2093	-0.396729646	-0.111343485	-0.066185973	0.097091174	-0.071494512	-0.213532796	-0.045206923	0.078513466	0.144252625	0.104917634	-0.038186725	-0.341362744	0.030540429	0.218559467	-0.001579679	0.079083717	0.01481651	-0.186156756	-0.150038721	-0.097002453	-0.131531981	0.297381479	-0.164445885	-0.155863094	-0.120219142
BLSA	2102	-0.666894332	0.667835642	0.369493167	-0.453201072	0.245614111	-0.134473112	0.108707544	0.27170331	0.942463916	0.067616003	-0.272475577	0.633355193	0.119086128	0.049091441	0.417123128	0.111938577	0.379457009	0.540058729	0.386460841	0.089464179	0.315646477	-0.155710937	0.427883616	0.165543019	0.346857689
JHU	384	0.205398453	-0.009285369	0.058887879	0.13354106	-0.136367803	-0.167559757	0.053240169	-0.478438159	-0.533655525	0.086132761	-0.000743907	-0.317369249	0.014192278	0.100368328	0.163497747	-0.133911823	-0.120493652	-0.032932992	-0.196315705	-0.079406465	-0.038440725	-0.361982165	-0.031517725	0.087029483	-0.164251898
