FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	-0.084494176	0.215313474	0.267630629	0.109920748	0.666341126	0.419516777	-0.085120063	0.364983723	0.392936638	-0.053103357	-0.024403271	-0.30652074	-1.274098064	-0.578971287	-0.482795132	0.515038604	1.040946715	0.087964908	0.632974079	0.329322992	0.423161155	0.687233832	0.086439779	-0.187662685	0.467351888
BLSA	827	0.224454803	0.658608088	-0.304567352	-0.004105505	0.051770589	-0.001149266	-0.481403747	-0.007169836	0.221903553	-0.07504587	0.124823183	-0.663735327	-0.966132976	0.045547528	0.099295977	-0.05851468	0.581792148	0.077921761	0.365681355	0.185407183	-0.05658132	0.397202662	-0.148908963	-0.138512117	0.210651721
BLSA	1556	0.313982031	0.221875914	0.161312232	-0.260191211	0.066860229	-0.147288017	0.044137459	-0.073463321	0.035055289	0.28527197	0.021385238	-0.26884186	0.538034465	0.247292849	-0.183281808	0.252965096	0.143935924	0.104373327	0.007145196	0.016568891	0.345178472	0.069632529	-0.085266383	0.061337606	0.295510226
BLSA	1579	0.060358142	0.089378205	-0.209526233	-0.307230335	-0.390806496	-0.111471336	-0.026439207	-0.189045312	-0.360178104	-0.216429345	-0.240029435	-0.108659708	-0.057729125	0.300736585	0.554892113	-0.209887437	0.04068744	-0.039009999	-0.09071241	-0.017328822	-0.256797306	0.001757268	-0.158745629	-0.155323614	-0.218704321
BLSA	1595	0.230717669	0.149848222	NA	0.130344132	0.173085239	-0.232490675	0.223201319	0.436416476	0.53083275	0.386541314	0.711002003	0.430485455	-0.303277577	-0.118170146	0.347800985	-0.342397383	-0.034723501	-0.61201314	0.374289787	0.342422572	0.910246408	0.017554772	0.106087752	-0.321432692	-3.365219983
BLSA	1603	-0.244041971	-0.705673384	0.041094589	0.063891646	-0.200925879	-0.03906887	-0.045989783	-0.075651921	-0.141386387	-0.010002733	-0.005635504	0.650684807	-0.034622733	-0.388593853	-0.264601546	-0.080134953	-0.573116474	-0.088454271	-0.176277082	0.074745428	-0.152461557	-0.199880001	0.178687184	0.161793434	0.082712971
BLSA	1640	0.031810484	0.173885163	0.09349246	0.017193117	0.074328226	0.035015477	0.140679992	-0.048654599	0.211815036	0.091437476	0.119793266	-0.215103858	0.51956581	0.293754026	-0.206299195	0.167505346	-0.346917604	-0.039915478	0.125627552	-0.128227348	0.077905162	0.389526491	-0.052168409	0.082763414	0.022992847
BLSA	1775	0.190444758	0.160720788	-0.15617744	-0.318253326	0.130416802	0.066292492	-0.20735525	0.066294592	0.069733745	0.099120996	0.21801316	0.206400527	-0.607417917	0.101882594	-0.035237902	-0.430708048	0.123593907	0.125867296	-0.041212375	0.246526669	-0.315835298	-0.432922014	-0.174359593	0.069249344	-0.573539585
BLSA	1802	-0.277434199	0.044344661	-0.079979875	0.182859833	-0.119981217	0.014602194	-0.145352968	-0.057656342	-0.171151902	-0.166386465	-0.228474632	0.759624105	0.242823277	0.090120867	-0.036416342	0.005629173	-0.070128816	0.071904388	0.016241122	-0.047794835	-0.160034735	-0.126960274	0.086710857	0.053622689	0.410617525
BLSA	1805	-0.287990909	-0.769969144	0.048814648	-0.02604523	-0.312283842	-0.096180825	0.079035335	0.120348544	-0.132316929	-0.039989175	-0.138915245	1.087385647	0.296559398	-0.123389148	0.071060724	-0.090725518	-0.533069292	-0.160532821	-0.438750536	0.070514885	-0.168790682	-0.131446244	-0.000275999	0.131010667	-0.013580222
BLSA	1838	-0.143129912	0.177301548	-0.142314983	0.145835023	0.010161853	-0.094170622	0.070361388	0.086223859	-0.012603136	-0.052689224	-0.157843637	0.061737764	-0.261565264	-0.375175124	-0.201916414	0.052265546	-0.280724565	0.168095635	-0.122311502	0.011661262	-0.144189941	-0.002889821	0.079282698	0.043514716	0.318380479
BLSA	1839	-0.261071019	-0.354540425	-0.024709721	-0.107309188	-0.168132469	0.197532124	0.121777827	-0.144613602	-0.120547972	-0.019842143	-0.03419429	0.417658422	-0.053793072	-0.361324939	0.025577611	0.039899165	-0.170876231	-0.104996787	-0.264050445	-0.180195719	-0.29872443	-0.286695181	0.076975806	0.153925162	0.744321984
BLSA	1840	0.056112854	-0.29880133	-0.015713354	-0.326067655	-0.126137852	-0.01176213	-0.118328616	-0.009421724	-0.203091124	-0.093946553	-0.203289258	0.293508255	0.107100076	-0.265617358	-0.237734183	-0.131278659	-0.070082218	-0.195679087	-0.102453483	0.028228423	-0.296517598	-0.17492781	0.02603546	-0.07524983	0.412737951
BLSA	1883	-0.232887942	-0.16176704	-0.015197695	-0.110650212	0.053737297	-0.087860778	0.03522888	-0.146658572	-0.106966964	-0.151675614	-0.132785443	-0.048180425	-0.056604334	-0.222073616	-0.062966623	-0.076728272	-0.100394411	0.157376867	-0.145829443	-0.05102884	-0.096079051	-0.031210666	-0.118245041	-0.074083863	-0.059068588
BLSA	1889	0.031435138	-0.3822866	0.093929073	0.117956356	-0.093733539	0.109448171	-0.023222545	-0.026864109	-0.205007848	-0.204451746	-0.095101852	0.532592472	0.142969309	-0.080819228	-0.211364309	0.090035534	0.090212811	0.116101764	-0.20398964	-0.061993888	-0.148310651	-0.179364133	0.06148173	0.05209645	0.378789855
BLSA	1924	0.059767243	-0.073908879	0.032117549	0.185688506	-0.20988524	-0.209585288	0.089624967	-0.09107194	-0.119578609	0.048507668	-0.000920966	0.025558823	-0.028426554	-0.445095842	0.433943998	-0.056838822	-0.344485749	-0.057450247	0.006383792	-0.095235357	-0.00306521	0.177870706	-0.07128008	-0.155093594	-0.211308888
BLSA	1961	-0.006596522	-0.661999337	0.21323588	0.034976444	-0.03847957	0.01269217	0.046218386	0.000480569	-0.039837082	0.178731625	0.088794048	-0.209550011	0.422761147	-0.084169897	0.045445803	0.060507512	-0.384796474	0.292177444	-0.161900122	-0.000260425	0.023012332	-0.204657227	0.288721534	0.144715195	0.388415735
BLSA	2000	0.042051064	0.014997423	0.098428299	0.033068677	-0.002209842	-0.059888682	-0.157688713	-0.022028692	-0.007328989	0.114982655	-0.197664633	-0.254968049	0.339401904	0.929416185	-0.097394611	-0.109944614	0.140991094	0.093652594	0.014472892	-0.095763257	-0.100304023	0.005190309	-0.012661953	0.237554703	0.145436255
BLSA	2020	-0.007568293	-0.001678571	0.009295206	-0.027127989	0.073294729	0.028414833	0.152413573	-0.028473341	0.056199759	-0.035495027	0.005504219	-0.327277291	-0.08045575	-0.188294628	0.23349773	0.123136952	-0.065475191	0.093682901	0.11251803	-0.008734961	0.089807541	0.20242051	-0.11168044	-0.205814065	-0.160893441
