FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	0.868724455	0.06866273	0.462728402	-1.614812927	0.53488347	0.308584081	0.547655825	-0.792947468	-0.362314863	0.89848076	0.541094443	-0.776013152	0.144714583	0.079539873	-1.282773167	-0.686055998	0.230477717	0.025264969	-0.812138351	0.22267805	-0.446066897	-0.221260282	-0.134016481	-0.462690527	-0.110167613
BLSA	827	0.250358891	-0.034471492	0.618384316	-0.896670151	0.231009895	-0.139357309	0.473008848	-0.169736062	-0.467296191	0.279473812	0.029630879	-0.335355827	-0.067493309	0.630785228	-0.006941994	-0.806504882	0.310198841	-0.04426855	-1.208566066	-0.002099093	0.525764692	-0.056354813	-1.362353349	0.475667096	-0.721395232
BLSA	1556	0.189859298	-0.211874897	-0.002025215	-0.209632585	0.100866874	0.00154676	0.009603376	-0.052590283	-0.053137532	-0.50338966	0.106525125	0.485626467	0.07014575	0.011422524	0.720128757	-0.731226614	0.041418289	0.211413153	0.345607819	0.055273439	0.357581466	0.069384003	0.342488079	0.14223204	-0.086330498
BLSA	1579	-0.144374012	-0.173788564	-0.076341685	0.237406598	-0.048733172	-0.191552238	-0.367216078	-0.183133478	0.219734519	0.040094932	-0.348833632	0.908074078	-0.298341583	-0.019103137	0.198150213	0.243891335	-0.320481957	0.045656209	-0.044825038	-0.214419628	0.352707754	-0.343281129	-0.019187007	-0.550325659	-0.339884064
BLSA	1595	0.104354286	0.62910073	-0.100756615	0.102964895	-0.784676935	0.807922478	0.308262587	-0.143674106	0.223601541	0.146537896	-0.42540445	-0.782398828	-0.237531639	-0.861006033	NA	-0.41720116	0.403485223	0.172286778	-1.108596797	0.713865612	-0.436137123	-0.225717509	-0.460682078	0.440090518	0.269782945
BLSA	1603	-0.509838071	-0.094857588	-0.448641658	0.267211783	-0.134572724	-0.133812835	-0.234682138	0.240142126	0.161180971	0.132918112	-0.051883493	-0.306030211	-0.090561145	-0.091570692	0.944802389	0.522423874	0.025253395	-0.127909304	0.74762087	-0.049541922	-0.342231041	0.348797343	0.385751813	-0.127148294	0.361775372
BLSA	1640	-0.025507308	0.077999831	-0.177179103	0.055118068	-0.02822421	-0.02242075	-0.085193813	0.259298651	0.077288412	-0.501345241	-0.035605083	0.887803702	0.095975063	-0.027432385	0.86541531	-0.313877139	-0.095331585	0.091106068	0.168910363	0.154813774	0.448766193	0.175967581	0.409178002	0.193501989	0.074560076
BLSA	1775	-0.161119811	0.597287744	0.477967172	0.082869931	-0.192600275	0.053198602	0.035647684	-0.24128651	-0.47287549	0.405332343	-0.183982393	-1.00454788	0.10027665	0.006450874	-0.923723917	0.285330233	-0.085298029	0.046445496	-0.714560154	-0.201004605	-0.503800537	-0.337582348	-1.008860302	1.172569667	-0.282106592
BLSA	1802	0.034864097	-0.085068731	-0.297717835	0.401070366	0.055550925	-0.119054736	-0.160678378	0.064390686	0.152183941	0.186798175	0.222197841	-0.065627521	-0.109900214	-0.086208045	-0.243986509	0.706031984	-0.079436124	-0.081459375	0.530028351	-0.052437817	-0.283021554	-0.047991741	0.91288956	-0.411293582	0.251954616
BLSA	1805	-0.481687799	-0.118761459	-0.480092508	0.401471374	-0.172077983	-0.242472754	-0.255857144	0.054438717	0.488740837	0.117354651	-0.007756122	0.124765008	-0.073952149	-0.063584095	-0.181480135	0.626912013	-0.023716018	-0.207854684	0.994421581	-0.278537467	0.025618712	-0.128608171	0.815346678	-0.401043062	0.337219127
BLSA	1838	-0.111674362	-0.014704322	0.077667961	-0.266977708	0.047726487	-0.004495522	0.056878038	-0.120538031	-0.320520642	0.055546748	0.058746603	0.078130572	-0.096974005	0.143947494	-0.774587216	0.164161632	-0.008675583	0.121829423	0.283482936	0.060499835	0.116420881	-0.184576429	0.145753934	-0.245020591	-0.034690686
BLSA	1839	0.026662231	-0.101965171	-0.21939367	0.162809673	0.077845423	-0.161876218	-0.25208132	-0.005871177	0.089515724	0.214999182	-0.006789503	-0.243872195	0.074697592	0.016416521	-0.448383687	0.63831387	-0.015396772	-0.443671866	0.15699749	-0.253198337	-0.178457097	0.102325071	0.406640085	-0.293899281	0.213360255
BLSA	1840	0.117995539	-0.033448249	-0.044993244	0.216048281	-0.05360355	-0.375338429	-0.089874588	-0.143095389	-0.030483613	0.088760372	-0.03939416	-0.289385943	-0.065865078	-0.037222931	1.760637515	0.32658446	-0.219658001	-0.066358124	-0.679918452	-0.285798512	0.085189419	0.328813166	-0.324732943	0.079652803	-0.078362578
BLSA	1883	0.0214149	-0.027760908	0.164308728	-0.02458845	0.04465202	-0.062143087	-0.082793897	-0.005223932	0.023956571	-0.195626829	-0.076459877	0.031784069	-0.086492292	0.157525211	0.612370415	-0.027902415	-0.23588018	-0.157988544	0.200075286	-0.030801489	0.21008515	-0.389031484	0.057819059	-0.307941049	-0.081899608
BLSA	1889	-0.066462862	-0.159733592	-0.130718412	0.272481913	0.019731671	-0.078049224	-0.157217641	-0.160848309	0.046874164	-0.050318171	-0.133499428	-0.4149983	0.171267215	-0.095622534	0.448350787	0.424984059	-0.210364531	-0.062570792	0.600210161	-0.194909973	-0.357617869	0.139381233	-0.030562536	-0.230370121	0.11458893
