FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	0.642001524	0.305775475	0.241493252	-0.641411834	0.484238987	0.049350393	0.107037425	0.467487017	0.29289365	0.114406081	0.053993131	0.506325649	-1.677545982	0.693878512	-0.004717658	-0.5990443	1.090252266	0.61059607	0.409583371	0.383602866	0.02843566	0.176313003	0.146698135	0.507785187	0.590145132
BLSA	827	0.281188699	0.398358117	0.528813764	0.106971888	0.79989781	0.200648703	0.331723746	0.067435032	0.13667595	0.475330938	0.259488749	0.381806642	0.026844975	-0.155596679	0.080502787	-0.226980349	1.062435345	-0.596022952	0.207147055	0.271377543	0.024191825	0.112484486	0.392125955	0.324377441	0.299003121
BLSA	1556	0.08763885	0.135112195	-0.110434456	0.081477536	0.548081464	-0.226143408	-0.025898896	0.159619844	-0.125506242	-0.091039629	0.050400889	-0.066945006	0.136512686	-0.007110942	0.049304938	-0.380388749	0.150243104	0.38872831	0.222876934	0.080874146	0.266554771	-0.345012185	0.122809223	0.066529137	-0.319265416
BLSA	1579	-0.24790782	-0.186121774	-0.01856279	0.281782304	0.178255618	-0.014023129	-0.267955453	-0.15022	-0.171520226	0.02698266	-0.117232123	-0.20109511	1.077229812	0.2107359	-0.224001958	0.054535428	-0.124854378	0.604664888	-0.161078354	-0.01381647	-0.197114994	0.142149017	-0.073760602	-0.187663631	-0.223723501
BLSA	1595	0.951192207	0.856030317	-0.078204407	0.099955159	-0.40211235	-0.452820229	-0.05835824	0.410962711	0.302403041	0.732372318	0.240099731	0.527650568	-1.493599018	0.742538761	0.508372544	0.084000759	-0.028534938	0.392910609	0.920872885	0.488127886	0.412703313	0.26399554	-0.358790738	0.052771549	0.413057458
BLSA	1603	-0.308362686	-0.157079452	-0.122183157	-0.435346452	-0.918980767	0.090264455	0.049921201	-0.126737738	-0.096210747	-0.325692838	0.053183467	-0.129787746	-0.818255496	-0.056025919	-0.02235025	0.590888699	-0.332016131	-0.509520093	-0.126432128	-0.24410339	0.003840288	0.053553473	-0.027070853	-0.035279773	0.102210054
BLSA	1640	0.044606126	-0.046225074	-0.195345261	0.52251626	-0.072518608	0.228845746	0.241102427	0.064909155	0.049045835	0.210481075	0.133597685	0.10683476	0.715376737	-0.283214051	0.059809224	-0.371082692	0.186950729	0.353905639	0.132862049	-0.10983872	-0.017091798	-0.047794957	0.041723844	-0.020099862	-0.360676685
BLSA	1775	0.121512904	0.183734267	0.215724248	-0.270547181	0.362454703	-0.47316094	0.089839875	0.075348679	-0.096283531	0.053886026	0.070856722	0.048446183	-0.767761134	-0.109241193	-0.142575586	0.636815296	0.184170717	-0.843608319	-0.037722094	-0.316006485	-0.113726484	-0.456225147	-0.482263088	-0.473052691	-0.007777814
BLSA	1802	-0.136155308	-0.252150971	-0.139010784	-0.185033499	-0.09985328	0.107800406	-0.025909659	-0.095190923	0.047795271	-0.302946253	-0.25884104	-0.244719332	-0.353223113	-0.264975521	-0.088839678	0.464933563	0.560925086	-0.318725351	-0.32230086	-0.254923382	-0.128587584	-0.280861567	-0.13308771	-0.16312237	0.033107608
BLSA	1805	-0.383289099	-0.247358423	-0.154167276	-0.516142155	-0.877450324	-0.02349546	-0.151490295	-0.196014642	-0.153088865	-0.466947161	-0.092855794	-0.253477492	-0.178146329	-0.097291389	-0.133753954	0.546344758	-0.615061216	-0.520183358	-0.193177329	-0.4551049	-0.002856352	-0.040502405	-0.209150359	-0.195978757	0.233187961
