FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	-0.174711115	-0.195844607	0.263495246	-0.149678167	-0.718063461	0.326513178	0.053032007	0.697436816	0.030372811	0.321065149	0.450056058	0.250723175	0.610512867	0.08030938	0.24966799	-0.164077085	0.259775053	0.258564706	0.224135706	0.390028887	-0.606265944	1.179856757	-1.485797763	0.092266821	0.293975944
BLSA	827	0.120574954	-0.591666924	0.738119842	0.022035901	-0.586280845	0.371792553	0.343890905	0.012707178	-0.417009801	-0.158327453	-0.204953341	0.052654485	-0.346568776	0.566435295	0.115208178	-0.166411256	0.369905887	-0.240903984	-0.206738579	0.176758661	-0.739761071	1.22416271	-0.767515709	-0.262655228	0.20786421
BLSA	1556	-0.275026234	-0.372552983	-0.222501718	0.015031422	-0.108095156	0.073779091	-0.199691805	0.346555701	-0.072695706	-0.004701118	-0.008190974	-0.156154751	-0.095661951	0.12398321	-0.102150076	0.327135408	0.305392332	-0.012081751	0.093175346	-0.289339541	-0.376347107	0.172303481	-0.359026307	0.120666755	0.32742488
BLSA	1579	-0.136862994	-0.148245524	0.041293164	-0.236306426	-0.114570779	-0.328291935	-0.307132787	-0.229561199	-0.127928281	-0.272474628	-0.321069369	-0.170283089	0.008120418	-0.219033104	-0.163128308	-0.282437007	-0.2419846	-0.266273612	-0.229903441	-0.145334544	0.243896672	-0.246872937	0.132547889	-0.148698604	-0.459339313
BLSA	1595	-0.10425262	0.396555212	-0.175206037	0.296994825	-1.544514033	0.562471945	1.036064213	0.141439746	-0.266285781	0.188150191	0.535105951	0.123453855	-0.148549014	0.168287599	-0.208951126	-1.232966383	0.306029799	-0.030927811	0.850822231	0.20470423	0.501441772	0.371456483	0.565031267	0.309659431	-0.288454074
BLSA	1603	-0.10610453	0.650245108	-0.415651688	0.096313513	0.752382233	-0.130548548	0.175775349	-0.108898846	0.066957719	0.019124706	-0.046441093	0.149891296	0.182302373	-0.164747005	-0.117323418	0.024469699	-0.131895322	-0.016848949	-0.046134534	0.020852058	0.937473768	-0.674633768	0.491940726	0.005485182	0.022593713
BLSA	1640	-0.161637941	-0.377146176	-0.216539105	0.242951614	-0.183082683	0.368106492	-0.133481427	0.142747326	-0.209348087	0.29243523	-0.093338453	0.113524862	-0.067527974	0.008896692	0.093257499	0.338687645	0.084566906	0.000701067	0.064130172	-0.181673483	-0.392449785	-0.002536788	0.291018099	0.09817771	0.08298234
BLSA	1775	0.508201632	-0.098089412	0.595672212	0.157213944	-0.163060231	-0.159858873	-0.135334565	0.014843745	-0.202959021	-0.549630085	-0.009509695	-0.293478683	-0.489220562	-0.046645129	-0.12354784	0.245849041	0.179831481	-0.076744769	-0.251949035	0.163880175	0.053122042	0.83714787	-0.393871141	-0.108506277	0.667416889
BLSA	1802	-0.033579912	0.405936234	-0.093420677	-0.156408179	0.532509263	-0.371220396	-0.204985421	0.020853988	0.127211721	-0.070289497	-0.157231885	0.050860794	-0.012529142	-0.103648085	0.054848523	0.190810173	-0.112162642	0.058557001	-0.29892025	0.174848728	0.529501553	-0.269860491	0.125501013	-0.026326946	-0.340957444
BLSA	1805	-0.177279403	0.839490419	-0.703552008	-0.129609617	0.672508376	-0.207079215	0.34494349	-0.120451476	0.243113062	-0.030632557	-0.202252606	-0.110509124	0.121985467	-0.054463141	-0.024908346	-0.057360867	-0.189830866	-0.170624193	-0.091006439	-0.074551359	0.732173759	-0.857285051	0.641255768	0.004098375	-0.529300047
BLSA	1838	0.028835958	0.031503712	0.127632697	0.021432265	0.191841892	0.005737446	-0.176090008	-0.130005531	0.218840954	-0.164983374	0.070811031	0.003238936	0.166510732	-0.2035966	0.116894739	-0.017255899	0.045381687	0.091193226	-0.018467622	0.26551873	0.07970843	-0.143226155	-0.695495829	0.012961367	-0.235379037
BLSA	1839	0.085235056	0.096159746	-0.054485957	-0.005156933	0.612693838	-0.364969933	-0.048788729	-0.07462041	-0.020953016	0.171133781	-0.163533744	-0.012612028	0.121405324	-0.144417175	0.062259367	0.287717353	-0.297596817	0.0630007	-0.146628791	0.000162369	0.063718754	-0.568217616	-0.127755819	-0.049867656	-0.233585116
