FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	-0.875610607	0.37174525	0.353747873	-0.516714252	-0.015324362	0.337192856	0.560562242	0.035936524	-0.14215835	0.117352052	0.676736285	0.458263893	0.510405306	0.846452186	0.51956968	0.482539668	0.456003155	0.243248783	0.333730022	0.336529422	-0.330340684	-0.366219589	0.640021143	-0.766921496	-0.294308576
BLSA	827	-0.49607191	0.227752124	0.368853732	-0.488042162	0.480535536	0.453192496	0.630028632	-0.634664972	-0.410773571	-0.154087274	0.334597973	0.137377581	0.415034603	0.839645227	0.057955388	0.011995946	0.009611838	0.02574853	0.210047688	0.048910535	0.250119502	-0.372416379	0.261618395	-0.119662869	-0.053924897
BLSA	1556	0.270294702	-0.062313508	-0.330743419	0.669109193	0.197732822	-0.177728528	-0.190982123	0.63644416	0.278871264	-0.219386363	0.084681037	0.082011532	-0.053220448	-0.282281989	-1.005726957	0.117936524	-0.132967002	0.006402859	-0.196821115	0.176930341	0.119666632	0.143153414	-0.029459913	0.287488255	-0.016593448
BLSA	1579	-0.032932011	-0.138378305	0.014270879	0.301983568	-0.101851843	-0.124019238	-0.081367771	0.272511014	0.257290946	-0.170848576	-0.264532562	-0.258112156	0.667777315	-0.179978706	0.133073864	-0.204035565	-0.339129262	-0.099853048	-0.358141852	-0.394096045	-0.024975472	-0.064268873	-0.162568787	0.096660122	-0.202316276
BLSA	1595	-0.393774003	0.809101467	0.690911527	0.214704354	0.007747915	0.025660966	-0.055654819	-0.096286849	-0.227582698	0.276818634	0.224927136	-0.193735857	-0.658038342	-0.010963667	0.617658001	0.394927668	-0.270682904	0.772108266	1.134792105	-0.057125944	-0.763824404	0.319358794	0.146590993	-0.888881474	0.008874721
BLSA	1603	-0.057245154	-0.065477883	-0.258832747	-0.083831963	-0.12322354	-0.205318901	-0.126317597	0.124452818	-0.195361993	0.16423378	-0.166693041	-0.067893017	-0.672950219	-0.150012577	0.652129529	-0.264236438	-0.036376764	-0.145703358	-0.153973832	-0.060899944	-0.066888201	0.70588174	0.018128106	-0.301421822	0.074985425
BLSA	1640	0.040927763	-0.027068133	-0.161667801	0.24522253	-0.029196481	-0.015713468	-0.111489862	0.093821406	0.017011432	-0.194216588	0.099236777	0.056139017	0.136829602	-0.12617805	-0.685807315	0.093795872	0.11518086	-0.051774346	0.190522298	0.286443868	-0.054014271	-0.18903517	-0.087906758	0.117979481	0.478294629
BLSA	1775	0.438984927	0.25610409	0.346030756	-0.830511681	0.433957421	0.238308684	0.040026391	-0.730276708	-0.497304084	0.076575339	0.033782636	-0.204755891	-1.231541579	0.71802719	0.060286999	0.18743258	-0.074773204	-0.208003039	0.048859535	-0.301066775	0.004311215	-0.323228747	0.060601091	0.486024017	-0.303412796
BLSA	1802	0.069574679	-0.055369153	-0.359042625	-0.223699397	-0.019848624	-0.265055883	-0.23444453	0.249767692	0.09109466	0.102154689	-0.112140407	-0.086525812	-0.189319582	-0.447195679	-0.060756888	0.1385701	-0.036203988	-0.102193731	-0.271633614	-0.018011797	-0.085241694	0.242183932	0.086848177	-0.168535806	-0.139108878
BLSA	1805	0.144623846	-0.3503335	-0.12431327	-0.330136841	-0.392150274	-0.121956143	-0.156804253	0.394794611	0.150082361	0.373395878	-0.433681457	-0.198365326	-0.375812249	-0.300780782	0.438935207	-0.234588032	-0.089811918	0.072615863	-0.276299772	-0.143272556	0.009126124	0.943821026	0.285517296	-0.346269046	-0.156923125
BLSA	1838	-0.190299786	-0.120956117	0.252938004	-0.766844291	-0.084295944	-0.296091306	0.185266644	-0.099869548	0.346754332	0.145158817	-0.046637595	-0.098642702	0.301120963	0.063456515	-0.049744469	0.11853682	-0.02477251	0.015924028	-0.039754264	-0.017089922	-0.12315012	-0.062753359	-0.37011865	0.105612046	-0.253177315
BLSA	1839	0.020602036	-0.301220255	-0.024392106	-0.373678865	0.453599815	-0.500965571	-0.074591603	0.044165167	0.050982451	0.205332653	-0.209303829	0.06977915	0.082350459	-0.061471572	0.690852874	-0.141852769	-0.013628179	-0.140923486	-0.291337925	0.045729835	0.095998956	0.06618719	0.120938601	-0.342990243	-0.006689045
