FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	-1.449077779	0.304759668	0.457507141	0.148218921	-0.181541842	0.486833927	0.075993402	0.799211679	0.251527815	0.192234592	0.342844295	-0.016032692	0.430311703	0.689105683	0.304461978	0.120341595	-0.132067165	0.05457519	-1.080850523	0.737308542	0.663277347	0.549226194	-0.828147243	0.560778799	0.714822812
BLSA	827	-0.883169927	0.153438606	0.514356043	0.039862973	0.175183041	0.227249836	0.336215871	0.30853246	0.791739297	0.685785998	-0.078794808	0.096023161	0.157890153	0.305003969	0.35226835	0.057751239	0.079940814	-0.013377029	-0.366633403	0.192974591	-0.632067557	0.313697251	0.166396139	0.202099268	0.129598537
BLSA	1556	-0.08435297	0.045591189	0.031421194	-0.010437493	-0.140267932	0.298668439	-0.134442097	-0.218363261	-0.250171237	0.214895272	-0.394283079	0.419405806	0.093835211	-0.080872945	-0.009013942	0.190918996	0.294540014	0.052106076	0.044777643	0.172905405	0.095742013	-0.03501529	0.164151562	0.199628422	-0.304333507
BLSA	1579	0.106630597	-0.246453803	-0.374735877	-0.297081196	-0.254872798	-0.278183976	0.126816176	0.102137757	0.046856466	0.521547129	0.483886978	0.446210151	-0.199649559	-0.054865219	-0.122623281	-0.237145586	-0.143048278	-0.232734538	0.511177522	-0.344182316	-0.173309892	-0.314740275	-0.004194596	-0.174923855	-0.082649581
BLSA	1595	0.572672859	-0.619237727	0.270740267	0.51516861	0.409184925	0.463119533	-0.426795264	0.162284521	-0.288611791	0.532166224	0.495414472	-0.326968759	0.520419478	0.381201224	-0.400585508	-1.199009173	0.084033177	0.470450517	-0.864667174	0.191465487	0.16945796	0.757183505	-1.48128205	0.497437578	0.464292144
BLSA	1603	0.375123783	-0.113779077	0.03696844	-0.000903267	0.387210013	-0.411435932	-0.406893287	-0.155133609	0.18012491	0.10183471	-0.110807827	-0.346150524	-0.070561566	-0.127296188	0.017905381	0.003838093	-0.247919242	-0.063522401	0.235837051	-0.159896097	0.038543856	-0.163144184	0.144651577	-0.071351035	0.214858439
BLSA	1640	-0.244377004	-0.061405879	0.048492997	0.047888688	0.029174439	0.508864442	-0.496622175	-0.268166543	-0.013125232	0.109178561	-0.372371236	0.396517505	0.134913868	-0.080373864	0.065006613	0.062349091	0.092202909	0.119131209	-0.232913616	-0.060051195	0.00017933	-0.072132177	-0.019643479	0.046281943	-0.150381908
BLSA	1775	-0.296982385	0.337313282	-0.015878548	0.240982411	-0.129963929	-0.172915959	0.965812909	0.355714375	0.221544163	-0.440636641	-0.439169219	-0.331945183	-0.293868955	0.418502319	-0.236659202	-0.010069333	-0.206179268	0.109337641	-0.086555822	-0.033583145	-0.265548474	-0.200800471	-0.29333014	0.046384809	-0.282335047
BLSA	1802	0.363041812	0.087165711	-0.270846236	-0.095454718	0.037416703	-0.23723567	0.067249834	-0.155294971	-0.393905081	0.420202765	-0.49022902	-0.110723484	-0.215846233	-0.220529228	0.063299375	0.273453331	-0.123688255	-0.074714263	-0.03706917	-0.18688188	0.054405968	-0.174142471	0.051334064	-0.125364353	0.15645517
BLSA	1805	0.343589822	-0.073424784	-0.048673942	-0.193138374	0.298185387	-0.404507408	-0.672615603	-0.18206921	0.189555981	-0.14422026	-0.088853603	-0.316486575	-0.222613327	-0.215774277	0.110888533	-0.006341592	-0.285320388	-0.23695664	0.560490499	-0.207485933	-0.15337535	-0.112914987	0.179520049	-0.296332485	0.142405789
