FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	0.056935808	0.264877504	0.448973137	0.377675926	-0.30302997	-0.255296766	-0.35449642	0.267777981	-0.055984112	0.300432569	0.221658447	-0.113018969	-1.921595783	0.07038195	-0.453100592	0.987632668	0.057795819	0.297183366	0.437618833	0.421926901	-0.015003678	-0.015476834	0.218277683	-0.124925677	0.197734047
BLSA	827	0.409027918	0.122794981	0.44776834	0.337559335	-0.255154033	0.219908353	-0.772788874	0.356129926	-0.14379151	-0.194954765	0.07704965	0.362053872	-1.333389109	0.398037731	-0.321710431	1.023911879	0.306401881	0.016262889	0.125795215	0.234932916	-0.175330649	-0.097121657	0.224563855	-0.463223974	0.74879796
BLSA	1556	0.00579313	-0.076840852	0.223884026	-0.096506723	-0.103202915	0.336314854	0.640493264	0.139632924	0.219958521	0.16372769	-0.049509233	-0.129990951	0.062069038	0.042464625	0.223579412	-0.060085108	-0.03780083	-0.013349382	-0.025853338	0.039916154	0.040214244	0.129746818	0.098334292	-0.223444251	-0.131774769
BLSA	1579	0.251355559	-0.329414591	0.063527163	-0.244158426	-0.193872798	-0.245271099	0.459551682	-0.360744231	0.179883866	-0.045260456	-0.168771494	-0.058752943	0.28249769	-0.126151651	-0.029857999	-0.121325105	-0.080813242	-0.245706141	-0.182607051	-0.288374085	-0.13884523	-0.185846087	-0.245586386	-0.12569037	0.049546465
BLSA	1595	0.805228637	0.190651838	0.471600157	0.000139174	0.425427768	-0.390950371	-0.556864799	-0.783042915	-0.560422452	-0.831276485	0.128571746	0.029388026	-0.723532343	0.383145935	-0.123532295	-0.713228383	1.094634433	-0.200402735	0.127994553	-0.347104248	-0.086803109	NA	0.852440652	-0.257045829	0.415381861
BLSA	1603	-0.202983195	-0.131625366	-0.622635189	-0.000679069	0.111557703	0.009174659	-0.34754394	-0.238084168	-0.221938977	0.135667729	0.135376019	-0.065971978	0.394488583	-0.061894137	0.098609058	-0.207696504	-0.137724889	0.081093834	-0.238540061	0.07728687	0.070795926	0.039672757	-0.002115396	0.074495588	-0.44737082
BLSA	1640	0.092741896	-0.215904565	0.112348673	0.061984584	0.115253815	-0.092678403	0.403125584	-0.1109911	-0.0566754	0.045210315	0.226221116	0.057120197	0.245641618	0.006436148	0.42135317	-0.097524211	-0.29741801	-0.141524608	-0.109829994	0.131431568	0.090439431	0.091688086	0.114538453	0.209898234	-0.264985603
BLSA	1775	-0.354260185	-0.168866899	-0.551628994	0.170348911	-0.161023729	-0.125245888	-0.710784563	0.478994104	-0.379227129	-0.542098517	-0.258613399	-0.235762332	-0.06237116	-0.39619787	-0.64460326	0.249240957	-0.061312903	-0.192773866	0.174584709	-0.425007682	-0.448367078	-0.086875078	0.140067819	-0.391622945	0.461522854
BLSA	1802	-0.266833485	0.054963171	-0.389478501	-0.096183568	-0.213445138	0.09867719	-0.113693107	-0.085344562	0.014551487	0.233541862	-0.114722324	-0.070493215	0.182798516	-0.200950394	0.099304669	-0.233701126	-0.007810698	0.005778104	-0.241449962	-0.081582488	0.115063567	-0.060687112	-0.157615863	0.048361636	-0.067689111
BLSA	1805	-0.1684607	0.172604555	-0.5556542	-0.114592475	-0.133276414	-0.173760275	0.194715361	-0.263666984	-0.004788902	-0.002782729	-0.157843904	0.071381709	0.80465482	-0.224770794	0.314314074	-0.488299122	-0.10980378	-0.07668535	-0.057557521	-0.132068269	-0.032407541	-0.107857278	-0.194333271	0.052664554	-0.639461062
