FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	0.021035974	-0.044419067	1.121089126	0.314207736	0.271696614	0.663424099	0.580137729	0.289274046	0.384178189	0.541613346	-1.05344835	0.172314095	-0.074169449	0.379739477	0.626695588	-0.195450347	0.231630552	0.069624107	0.514191866	0.865362333	0.21535031	-0.432602705	-0.023854258	0.05542349	0.474482466
BLSA	827	-0.064140952	0.372328796	0.939033235	0.070469005	0.099922058	0.067859126	0.163529287	-0.146482675	0.482080089	0.429162652	-0.405297511	0.051252369	0.134791736	0.141575122	0.283665253	-0.162145967	-0.014416811	-0.191729616	0.200947315	0.119151231	-0.202887237	-0.217304405	-0.601119917	-0.258389332	0.158396886
BLSA	1556	0.23079701	0.490766013	0.690988873	0.066207399	0.034311933	0.056206764	0.038732472	0.093658582	0.118291062	0.028415815	-0.119499233	0.090320885	0.063875198	-0.304086653	-0.693027443	-0.120487784	0.037937313	0.031995098	0.208486754	0.13024641	-0.066763385	-0.061129339	0.069206057	0.596753612	0.089694026
BLSA	1579	-0.276679374	-0.463894529	0.120498963	-0.319018984	-0.340599514	-0.197513256	-0.198975504	-0.230325586	0.303342163	-0.117390113	0.559591613	-0.188125627	-0.087496881	0.388601168	-0.137492765	0.418445358	0.271973788	0.034347565	-0.376892428	-0.341070535	-0.322214551	-0.069939542	-0.005073701	-0.078127035	-0.280789072
BLSA	1595	0.140756244	-0.865444601	0.363157386	-0.548310408	0.575211413	0.784073794	0.058823967	0.219762936	0.883054721	-0.433016433	-0.148132101	0.560066154	0.077485466	0.095869008	0.332140877	-0.855874476	0.548884341	-0.10744691	0.670677744	-0.603800314	0.347505022	-0.076677073	0.447245394	-1.248328911	0.816893947
BLSA	1603	-0.263180187	0.240135899	-0.816386471	0.061321063	-0.061995466	-0.04938496	-0.156907196	-0.008083828	-0.027847586	-0.256653794	0.004952446	0.010751406	0.103619838	-0.178651024	-0.036013586	-0.103832496	-0.31583123	-0.123360808	-0.118064372	-0.093920193	-0.095332646	0.098101778	0.15350508	-0.057133313	-0.20641624
BLSA	1640	0.178456573	0.752691191	0.518386369	0.015949896	0.098020114	-0.131282766	0.068054874	0.032330932	-0.097292028	-0.217885048	0.318985383	0.180363906	0.045308727	-0.428017583	-0.107146805	-0.182591536	0.04274213	0.16882716	0.183221726	0.159493693	0.072135253	0.072736434	0.029405503	0.154380927	0.126717543
BLSA	1775	0.409535271	-0.134648721	-0.298864406	-0.025394115	-0.121689036	-0.222719521	-0.108074409	-0.287628948	0.152357982	0.7644692	-0.402013837	-0.277187639	-0.252141672	0.25440162	-0.227995914	-0.235191192	-0.282510376	-0.458679017	-0.018644031	-0.201331383	0.12562284	-0.025140091	-0.455506185	-0.151599878	-0.008231984
BLSA	1802	-0.074791603	0.141372027	-0.500402911	-0.096553342	-0.156836466	-0.041613041	-0.073033452	0.082997442	-0.194312471	-0.076977731	0.094628234	-0.186902985	-0.063350688	0.282235183	0.146020344	0.197600329	-0.220724858	-0.102130602	-0.184858652	-0.050105042	-0.101478163	0.128854734	0.020257998	0.198721634	-0.169725954
BLSA	1805	-0.529186523	-0.292130329	-1.189135785	-0.072651236	-0.222730188	-0.133663875	-0.258140783	-0.04147924	-0.225425299	-0.470935769	0.266553702	-0.176067776	-0.115965577	0.117703235	0.022550215	0.046691219	-0.321548405	-0.08438563	-0.248475381	-0.11447863	-0.273301475	0.372367752	0.060541937	-0.160697466	-0.30227435
BLSA	1838	0.077214048	-0.703016299	-0.178725607	-0.001418794	0.073528288	0.037508229	-0.120401378	-0.01842851	0.270468875	0.093885205	-0.155662941	-0.177581775	0.028892824	0.182333348	0.072079178	-0.026090557	0.019164308	0.127696802	-0.044569699	-0.277229513	0.216776184	-0.036752334	-0.078948149	0.145472999	-0.194162392
BLSA	1839	-0.016989846	-0.63225378	-0.294448483	0.24081637	-0.148097448	-0.240751259	-0.066971466	0.00055347	-0.388816795	0.007260696	-0.227635634	-0.019236539	0.088020823	0.114406482	-0.024510609	0.118832233	-0.160743801	0.293605963	-0.252867627	0.091165361	-0.142431575	-0.139683642	0.088352926	0.260245914	-0.195379611
BLSA	1840	-0.27551843	0.824204066	-0.08618245	-0.038342714	-0.102100976	-0.145404866	-0.063454933	0.038999367	-0.102756093	-0.025762132	-0.03422744	-0.142294575	0.04955476	-0.044505073	-0.100216068	0.099957912	0.039281194	-0.009756849	-0.172422009	0.150946645	-0.026608103	0.008677453	0.112079814	0.080157278	-0.267842369
