FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	0.241592458	0.858752172	-0.602528943	0.231567255	-1.333834437	0.146590493	0.227946069	0.251531698	-0.134397577	0.104170928	-0.429776473	0.693828185	-0.107394349	0.49320356	-0.09918847	-1.432450117	0.370702787	0.600259987	-0.030316254	-0.208769393	0.46396517	0.810119261	-0.288265509	0.166736028	0.290440408
BLSA	827	0.19778941	0.809673751	0.220640587	0.655981583	-0.974721403	0.104755867	0.454682493	0.396247941	-0.640476942	0.431506387	0.378388677	0.388001978	-0.06313816	-0.019248192	-0.157212814	-0.698455548	0.674144235	0.328972483	-0.08206335	-0.102361496	0.662112272	0.520469668	0.217556443	0.299034254	0.227982383
BLSA	1556	0.01423611	-0.381931024	-0.039042607	0.123036228	-0.232321271	0.212401631	0.371585462	-0.04834223	-0.333905972	-0.159226969	0.086581621	0.290315981	-0.016159787	0.120626388	0.230566624	-0.06087277	0.411597266	-0.048066989	-0.157508092	0.196387186	0.124687545	0.031550904	0.328583994	-0.054905761	0.011806914
BLSA	1579	-0.013635282	-0.04607206	0.395715352	0.23076135	-0.251467892	-0.068344959	-0.233828042	-0.205433876	0.312070213	-0.260012778	0.377509109	0.014320312	-0.177674773	-0.228065595	-0.170900263	0.293460032	0.051082719	-0.280930924	-0.304312485	-0.144186201	-0.315223684	-0.274710485	-0.055943295	0.066323127	-0.259583378
BLSA	1595	0.375407871	0.996441227	-0.72983064	0.482663829	0.003353411	0.654878279	0.102847184	-0.235641815	-0.218712261	-0.272125525	0.277889977	-0.713415491	-0.269835501	0.809676392	0.755263475	-0.40451276	-0.030188376	0.676262345	0.510876378	0.489248389	-0.199580552	0.136913862	-0.492845098	-0.303102604	0.488390816
BLSA	1603	-0.331194943	-0.322939882	0.004935083	-0.447709587	0.59415076	0.087795503	-0.334337792	-0.015236503	0.617466368	-0.135786588	-0.694485083	-0.613393859	0.014183811	-0.089950905	0.013057313	0.322244771	-0.500212789	-0.189583687	-0.053351037	0.207913928	-0.141864753	-0.263780621	-0.164217716	-0.018108327	0.07096545
BLSA	1640	-0.011137698	-0.16590779	0.134299678	-0.191551692	-0.025651528	-0.011819631	0.051718379	-0.026830823	-0.282468582	0.277807637	-0.119312945	0.294174718	0.108031863	-0.088178197	0.048436729	0.245438852	0.616057325	-0.087033606	0.006123346	0.02542993	0.124492393	0.138519998	0.58070438	0.060346117	0.150555702
BLSA	1775	0.26186598	0.192846716	-0.114650434	0.547972188	0.396370935	-0.324229526	0.168544849	-0.228304651	0.035992164	0.255018101	0.778279707	-0.426630629	-0.200562148	0.013534454	-0.110856594	0.051037542	-0.599513687	0.046298632	0.490224771	0.089810783	0.178595247	0.392211176	0.010036623	-0.109289177	0.062068715
BLSA	1802	-0.261515718	-0.162310538	-0.086186041	-0.135505006	0.591185313	-0.126610185	-0.129884697	0.021810349	0.343838418	-0.091811546	-0.278401448	-0.344346113	0.107158211	-0.077795225	-0.247928699	0.320283719	-0.28237399	-0.050994229	-0.06857613	-0.292077768	-0.213137501	-0.377775434	-0.145381166	-0.021675019	-0.168034508
BLSA	1805	-0.303296785	-0.19789621	0.162413077	-0.6020238	0.515865053	0.042037961	-0.344615698	-0.152995991	0.499724699	-0.27806414	-0.340528174	-0.594541527	-0.076645138	-0.302771217	-0.056024373	-0.131802691	-0.470102194	-0.284037082	-0.390621975	-0.058054873	-0.307449716	-0.42447411	-0.13417518	-0.215315277	0.158286395
BLSA	1838	0.091523381	0.019775195	0.280618175	-0.030954994	-0.173293981	0.011903135	-0.003565624	0.017317151	-0.119065854	-0.169000905	-0.275029879	0.174171766	-0.036691262	-0.028230507	-0.09998927	-0.265078437	-0.157737371	0.075806267	-0.055755227	-0.017636959	-0.106704171	-0.154001747	-0.049999879	-0.030100834	0.003058504
BLSA	1839	0.088174251	-0.454901106	0.065746247	-0.286038366	0.239711054	-0.07643764	-0.207124852	-0.022074674	0.402129823	0.180815143	-0.593755616	0.088064112	0.11906823	-0.204634202	0.067568639	0.030875311	-0.199933561	-0.321109431	-0.440727076	-0.156033144	-0.084859918	-0.258889143	0.194940657	0.042550467	0.041998628
BLSA	1840	-0.147646306	-0.053990177	-0.109250486	-0.150057263	0.331945305	-0.191795694	-0.213333473	-0.140312468	0.004877055	0.175393468	-0.036915883	-0.035287195	0.007634757	-0.301369714	-0.156624678	-0.196940803	-0.130586096	-0.276583808	-0.098379382	0.002637607	-0.076612897	0.145006624	0.175465302	-0.031522163	-0.189805529
BLSA	1883	-0.119560868	0.008249036	0.188427309	0.110471466	-0.039092897	-0.203189221	-0.176135326	-0.093455951	0.003742219	-0.170418251	-0.279564623	0.195961827	-0.161778366	-0.135371353	-0.102030909	0.578299593	-0.018716922	-0.211645743	-0.083029233	-0.125495113	-0.170756711	-0.243488281	-0.04841321	-0.044929724	-0.059080403
